date,a,b
2025-01-22 17:32:00, 105037.5, 104996.0
2025-01-22 17:33:00, 105037.5, 104999.75
2025-01-22 17:34:00, 105033.55, 104999.75
2025-01-22 17:35:00, 105033.55, 104990.46666666666
2025-01-22 17:37:00, 105021.90000000001, 104990.46666666666
2025-01-22 17:39:00, 105021.425, 104990.46666666666
2025-01-22 17:40:00, 105021.425, 104990.725
2025-01-22 17:41:00, 105050.26000000001, 104990.725
2025-01-22 17:42:00, 105050.26000000001, 105018.31999999999
2025-01-22 17:44:00, 105065.61666666667, 105018.31999999999
2025-01-22 17:46:00, 105065.61666666667, 105023.16666666666
2025-01-22 17:47:00, 105069.27142857143, 105023.16666666666
2025-01-22 17:49:00, 105070.5875, 105023.16666666666
2025-01-22 17:53:00, 105058.9, 105023.16666666666
2025-01-22 17:56:00, 105058.9, 105008.85714285714
2025-01-22 17:57:00, 105050.82, 105008.85714285714
2025-01-22 17:58:00, 105050.82, 104999.9625
2025-01-22 17:59:00, 105041.48181818183, 104999.9625
2025-01-22 18:01:00, 105041.48181818183, 104988.85555555555
2025-01-22 18:03:00, 105025.725, 104988.85555555555
2025-01-22 18:04:00, 105025.725, 104971.31
2025-01-22 18:07:00, 105007.63846153846, 104971.31
2025-01-22 18:08:00, 105007.63846153846, 104954.79090909091
2025-01-22 18:10:00, 104994.02857142857, 104954.79090909091
2025-01-22 18:11:00, 104994.02857142857, 104938.36666666667
2025-01-22 18:12:00, 104980.48, 104938.36666666667
2025-01-22 18:19:00, 104980.48, 104932.82307692307
2025-01-22 18:22:00, 104980.48, 104921.02142857143
2025-01-22 18:24:00, 104976.39375, 104921.02142857143
2025-01-22 18:27:00, 104976.39375, 104922.16
2025-01-22 18:29:00, 104975.9705882353, 104922.16
2025-01-22 18:33:00, 104975.9705882353, 104924.44375
2025-01-22 18:37:00, 104971.50555555556, 104924.44375
2025-01-22 18:39:00, 104971.50555555556, 104922.27058823529
2025-01-22 18:40:00, 104971.68947368421, 104922.27058823529
2025-01-22 18:44:00, 104971.68947368421, 104928.36666666667
2025-01-22 18:51:00, 104971.68947368421, 104934.96842105263
2025-01-22 18:54:00, 104976.16500000001, 104934.96842105263
2025-01-22 18:56:00, 104976.16500000001, 104944.175
2025-01-22 18:58:00, 104982.87142857142, 104944.175
2025-01-22 18:59:00, 104982.87142857142, 104952.80952380953
2025-01-22 19:05:00, 104987.44545454545, 104952.80952380953
2025-01-22 19:15:00, 104989.38260869565, 104952.80952380953
2025-01-22 19:19:00, 104989.38260869565, 104955.06818181818
2025-01-22 19:21:00, 104987.1125, 104955.06818181818
2025-01-22 19:22:00, 104987.1125, 104951.8
2025-01-22 19:23:00, 104983.876, 104951.8
2025-01-22 19:24:00, 104983.876, 104946.85
2025-01-22 19:28:00, 104976.95384615385, 104941.132
2025-01-22 19:30:00, 104970.0925925926, 104941.132
2025-01-22 19:33:00, 104965.15714285715, 104941.132
2025-01-22 19:37:00, 104965.15714285715, 104940.53076923077
2025-01-22 19:38:00, 104965.4724137931, 104940.53076923077
2025-01-22 19:39:00, 104965.4724137931, 104941.11481481482
2025-01-22 19:44:00, 104968.79666666666, 104941.11481481482
2025-01-22 19:47:00, 104968.79666666666, 104949.99285714286
2025-01-22 19:50:00, 104975.60967741936, 104949.99285714286
2025-01-22 19:51:00, 104975.60967741936, 104956.61724137931
2025-01-22 19:53:00, 104982.4625, 104956.61724137931
2025-01-22 19:55:00, 104982.4625, 104969.34666666666
2025-01-22 19:57:00, 104992.10909090909, 104969.34666666666
2025-01-22 19:58:00, 104992.10909090909, 104979.25806451614
2025-01-22 20:01:00, 104995.75, 104979.25806451614
2025-01-22 20:03:00, 104995.75, 104981.540625
2025-01-22 20:04:00, 105002.37142857142, 104981.540625
2025-01-22 20:06:00, 105002.37142857142, 104990.94545454545
2025-01-22 20:09:00, 105002.37142857142, 104999.63529411764
2025-01-22 20:10:00, 105010.78611111111, 104999.63529411764
2025-01-22 20:11:00, 105010.78611111111, 105008.05714285714
2025-01-22 20:12:00, 105019.65675675675, 105008.05714285714
2025-01-22 20:16:00, 105030.55263157895, 105008.05714285714
2025-01-22 20:19:00, 105030.55263157895, 105019.12777777777
2025-01-22 20:21:00, 105039.22307692308, 105019.12777777777
2025-01-22 20:22:00, 105039.22307692308, 105028.57837837838
2025-01-22 20:23:00, 105048.6375, 105028.57837837838
2025-01-22 20:24:00, 105048.6375, 105038.6105263158
2025-01-22 20:27:00, 105056.3219512195, 105038.6105263158
2025-01-22 20:32:00, 105056.3219512195, 105044.82307692307
2025-01-22 20:35:00, 105061.22619047618, 105044.82307692307
2025-01-22 20:37:00, 105067.39767441861, 105044.82307692307
2025-01-22 20:40:00, 105067.39767441861, 105051.45
